2023-08-14 , 16:49:10 , LOG , com/herculife/herculifepelvictutor/Controllers/SplashController , App Closed Correctly
2023-08-14 , 16:56:43 , LOG , com/herculife/herculifepelvictutor/MYSQL/MYSQL , new Patient added (706ee2dc05a96ecb7bdfe9ec9dc93faa6b0ae2b84717466562d873e4cdc43277)
2023-08-14 , 16:59:18 , LOG , com/herculife/herculifepelvictutor/MYSQL/MYSQL , new Patient added (bd6f66eed1d7f0a057e5d7bcc1d56b1d69ef06adb9d988995faffc02c6cd1444)
2023-08-14 , 16:59:33 , LOG , com/herculife/herculifepelvictutor/MYSQL/MYSQL , new Patient added (bd6f66eed1d7f0a057e5d7bcc1d56b1d69ef06adb9d988995faffc02c6cd1444)
2023-08-14 , 17:02:42 , LOG , com/herculife/herculifepelvictutor/MYSQL/MYSQL , new Patient added (0777863ba4185dc1cdce6800331ab5d01d2abda69e908f0a5f23c3b790934864)
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Encryption initiated
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/MYSQL/MYSQL , new Patient added (0777863ba4185dc1cdce6800331ab5d01d2abda69e908f0a5f23c3b790934864)
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-14 , 17:12:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-14 , 17:14:32 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
