2023-08-25 , 17:26:31 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:26:31 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:26:31 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:26:31 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:26:33 , LOG , com/herculife/herculifepelvictutor/Controllers/UserListController , User: herculife Closed the App Correctly
2023-08-25 , 17:33:14 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:14 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:14 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:14 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:15 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
2023-08-25 , 17:33:15 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Encryption initiated
2023-08-25 , 17:33:33 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:33 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:33 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:33 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:35 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
2023-08-25 , 17:33:35 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Encryption initiated
2023-08-25 , 17:33:35 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
2023-08-25 , 17:33:36 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Encryption initiated
2023-08-25 , 17:33:36 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:36 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:36 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:36 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:38 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
2023-08-25 , 17:33:38 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Encryption initiated
2023-08-25 , 17:33:44 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:44 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:44 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:44 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:46 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
2023-08-25 , 17:33:46 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Encryption initiated
2023-08-25 , 17:33:46 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
2023-08-25 , 17:33:46 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Encryption initiated
2023-08-25 , 17:33:46 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:46 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:46 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Decryption initiated
2023-08-25 , 17:33:46 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Json file converted to Object
2023-08-25 , 17:33:48 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Object converted to Json file
2023-08-25 , 17:33:48 , LOG , com/herculife/herculifepelvictutor/ProjectSettings/MyGoTo , Patient Encryption initiated
2023-08-25 , 17:33:54 , LOG , com/herculife/herculifepelvictutor/Controllers/TrainingHistory , User: herculife Closed the App Correctly
